path	git_state	bytes	utf8	status	batch	note
.claude/commands/opsx/apply.md	tracked	4596	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/commands/opsx/archive.md	tracked	5015	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/commands/opsx/explore.md	tracked	6760	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/commands/opsx/propose.md	tracked	4418	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/skills/openspec-apply-change/SKILL.md	tracked	4774	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/skills/openspec-archive-change/SKILL.md	tracked	4157	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/skills/openspec-explore/SKILL.md	tracked	10738	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/skills/openspec-propose/SKILL.md	tracked	4646	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.claude/skills/run/SKILL.md	tracked	7978	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.dockerignore	tracked	357	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.githooks/pre-commit	tracked	2356	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
.gitignore	tracked	971	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
CLAUDE.md	tracked	13110	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
Dockerfile	tracked	2984	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
VERSION	tracked	7	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
artifacts/.gitignore	tracked	14	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
cmd/gicg_actor/main.go	tracked	11778	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
cmd/gicg_actor/main_test.go	tracked	4894	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
configs/README.md	tracked	2917	yes	machine-byte-scan-only	inventory	UTF-8 text/source inventoried and decoded; full semantic review not yet recorded
configs/_archived/az_apr/_tmp_r010_az_bcwarmstart_stage3_seed43.toml	tracked	1670	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/_tmp_r012_az_bcwarmstart_stage3_seed43.toml	tracked	1773	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r001_randteam2_400g.toml	tracked	997	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r002_fast_lambda_400g.toml	tracked	1291	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r003_obs_union_400g.toml	tracked	2613	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r004_slow_union_400g.toml	tracked	1862	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r005A_slow_nounion_400g.toml	tracked	1673	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r006_slow_noskillrefs_400g.toml	tracked	1998	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r007_slow_1500g.toml	tracked	1397	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/r010_az_bcwarmstart_stage3.toml	tracked	2164	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s055_az_stage0_baseline.toml	tracked	1165	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s056_az_stage0_seed43.toml	tracked	635	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
configs/_archived/az_apr/s057_az_stage0_seed44.toml	tracked	635	yes	machine-byte-scan-structured	inventory	structured data/config inventoried and decoded; no full semantic review recorded
